t,x,y,z,w,w_pred,v,q
8.63,-30.0,-21.095555,0.8,1.6,1.6,50.0,0.0
8.64,-30.0,-21.025551,0.8,1.6,1.6,50.0,0.0
8.65,-30.0,-20.955548,0.8,1.6,1.6,50.0,0.0
8.66,-30.0,-20.885544,0.8,1.6,1.6,50.0,0.0
8.67,-30.0,-20.815541,0.8,1.6,1.6,50.0,0.0
8.68,-30.0,-20.745537,0.8,1.6,1.6,50.0,0.0
8.69,-30.0,-20.675534,0.8,1.6,1.6,50.0,0.0
8.7,-30.0,-20.60553,0.8,1.6,1.6,50.0,0.0
8.71,-30.0,-20.535527,0.8,1.6,1.6,50.0,0.0
8.72,-30.0,-20.465523,0.8,1.6,1.6,50.0,0.0
8.73,-30.0,-20.39552,0.8,1.6,1.6,50.0,0.0
8.74,-30.0,-20.325516,0.8,1.6,1.6,50.0,0.0
8.75,-30.0,-20.255513,0.8,1.6,1.6,50.0,0.0
8.76,-30.0,-20.185509,0.8,1.6,1.6,50.0,0.0
8.77,-30.0,-20.115506,0.8,1.6,1.6,50.0,0.0
8.78,-30.0,-20.045502,0.8,1.6,1.6,50.0,0.0
8.79,-30.0,-19.975499,0.8,1.6,1.6,50.0,0.0
8.8,-30.0,-19.905495,0.8,1.6,1.6,50.0,0.0
8.81,-30.0,-19.835492,0.8,1.6,1.6,50.0,0.0
8.82,-30.0,-19.765488,0.8,1.6,1.6,50.0,0.0
8.83,-30.0,-19.695485,0.8,1.6,1.6,50.0,0.0
8.84,-30.0,-19.625481,0.8,1.6,1.6,50.0,0.0
8.85,-30.0,-19.555478,0.8,1.6,1.6,50.0,0.0
8.86,-30.0,-19.485474,0.8,1.6,1.6,50.0,0.0
8.87,-30.0,-19.415471,0.8,1.6,1.6,50.0,0.0
8.88,-30.0,-19.345467,0.8,1.6,1.6,50.0,0.0
8.89,-30.0,-19.275464,0.8,1.6,1.6,50.0,0.0
8.9,-30.0,-19.20546,0.8,1.6,1.6,50.0,0.0
8.91,-30.0,-19.135457,0.8,1.6,1.6,50.0,0.0
8.92,-30.0,-19.065453,0.8,1.6,1.6,50.0,0.0
8.93,-30.0,-18.99545,0.8,1.6,1.6,50.0,0.0
8.94,-30.0,-18.925446,0.8,1.6,1.6,50.0,0.0
8.95,-30.0,-18.855443,0.8,1.6,1.6,50.0,0.0
8.96,-30.0,-18.785439,0.8,1.6,1.6,50.0,0.0
8.97,-30.0,-18.715436,0.8,1.6,1.6,50.0,0.0
8.98,-30.0,-18.645432,0.8,1.6,1.6,50.0,0.0
8.99,-30.0,-18.575429,0.8,1.6,1.6,50.0,0.0
9.0,-30.0,-18.505425,0.8,1.6,1.6,50.0,0.0
9.01,-30.0,-18.435422,0.8,1.6,1.6,50.0,0.0
9.02,-30.0,-18.365418,0.8,1.6,1.6,50.0,0.0
9.03,-30.0,-18.295415,0.8,1.6,1.6,50.0,0.0
9.04,-30.0,-18.225411,0.8,1.6,1.6,50.0,0.0
9.05,-30.0,-18.155408,0.8,1.6,1.6,50.0,0.0
9.06,-30.0,-18.085404,0.8,1.6,1.6,50.0,0.0
9.07,-30.0,-18.015401,0.8,1.6,1.6,50.0,0.0
9.08,-30.0,-17.945397,0.8,1.6,1.6,50.0,0.0
9.09,-30.0,-17.875394,0.8,1.6,1.6,50.0,0.0
9.1,-30.0,-17.80539,0.8,1.6,1.6,50.0,0.0
9.11,-30.0,-17.735387,0.8,1.6,1.6,50.0,0.0
9.12,-30.0,-17.665383,0.8,1.6,1.6,50.0,0.0
9.13,-30.0,-17.59538,0.8,1.6,1.6,50.0,0.0
